Title,Description,Price,Capacity,Grape,Secondary Grape Varieties,Closure,Country,Unit,Characteristics,Per bottle / case / each,Type,ABV,Region,Style,Vintage,Appellation
"Peyrassol ‘Les Commandeurs’ Organic Rosé, Côtes de Provence 2022","Established in the 13th century by the Knights Templar, Peyrassol now make some of the finest rosé in Provence. This is their second wine – and their bestselling rosé globally. It’s a true reflection of the estate’s commitment to quality, which sees them select the best terroirs and grapes to craft their signature style. 2022 marks the first vintage to be certified organic – as all Peyrassol’s wines will be going forwards. You’ll find it elegant and floral with notes of ripe strawberry, raspberry, gooseberry and tangy citrus. The crisp, lively flavours pair beautifully with fresh fish – particularly salmon or scallops.",£18.99 per bottle,75CL,Grenache,"Cinsault, Mourvèdre, Syrah, Vermentino",Natural Cork,France,9.8,"Citrus Fruit, Red Fruit, Mineral",per bottle,Rosé,ABV 13.00%,Provence,Delicate & Dry,2022,Côtes De Provence
"Abbotts & Delaunay 'Les Fleurs Sauvages' Viognier 2021/22, Languedoc","If you love rich, fragrant white wines then this is an absolute must try. It’s rare to find impressive Condrieu-like flavour that’s also such great value. Winemaker Laurent Delaunay knows how to get the very best out of the sun-drenched vineyards in the shadow of the Pyrenees. The sun here concentrates the flavours in their grapes to incredible intensity. The wine is then aged in barrel on its lees, giving it a moreish, creamy texture. Expect plenty of lush apricot and peach flavours, with notes of almond and sweet ginger spice. Aromatic Viognier complements spicy foods brilliantly, so try this with chilli prawns with creamy yoghurt.

In 2022, this wine won an IWC award for the 2020 vintage.",£11.99 per bottle,75CL,Viognier,,Screwcap,France,10.1,"Peach, Apricot, Blossom",per bottle,White,ABV 13.50%,Languedoc-Roussillon,Aromatic & Floral,2022,Pays D'Oc
"Beato Bartolomeo Pinot Grigio Superiore, Breganze DOC 2022","Pinot Grigio’s heartland is in Veneto, northeast Italy. It’s where you’ll find Breganze DOC, a tiny region in the Alpine foothills which is known for prioritising quality above all else. In fact, it’s so small that the region’s growers have formed a single cooperative – Beato Bartolomeo Breganze. If Pinot Grigio is a must for your wine rack, then this one is a first-rate choice. Fresh and light, with crisp citrus flavours and floral aromas, this is Pinot Grigio at its most refreshing. Fantastic as an apéritif, but also with green salads and light fish dishes.",£9.99 per bottle,75CL,Pinot Grigio,,Screwcap,Italy,9.4,"Lime, Floral, Lemon",per bottle,White,ABV 12.50%,Veneto,Smooth & Light,2022,
"Nyetimber Brut Rosé, Sussex","Based in the picturesque Sussex countryside, Nyetimber are one of England's finest sparkling wine producers. Their head winemaker, Cherie Spriggs, was the first person outside of Champagne – and the first woman – to be awarded Sparkling Winemaker of the Year at the prestigious International Wine Challenge. And her skill shines in this crisp, dry rosé. Made using the time-honoured traditional method, it’s a blend of Chardonnay, Pinot Noir and Pinot Meunier from Nyetimber’s Sussex and Hampshire vineyards. Discover refreshing notes of redcurrant, raspberry and cherry, with touches of shortbread and toasted brioche. It’s creamy texture and vibrant flavours make it an excellent match for salmon or shellfish, or you can enjoy it as an elegant apéritif.",£49.99 per bottle,75CL,Chardonnay,"Pinot Noir, Pinot Meunier",Natural Cork,England,9,"Red Fruit, Pastry, Raspberry",per bottle,Rosé,ABV 12.00%,Sussex,Crisp & Fruity,NV,
"Brancott Estate Sauvignon Blanc 2022, Marlborough","Until the 1970s, Marlborough was assumed too cold for winemaking. That's until the founders of the Brancott Estate made the region's first ever Sauvignon Blanc in 1979. The wine that started it all tastes fantastic today, some fifty vintages later. It's crisp and ripe, with flavours of citrus, pear, tropical fruit and pink grapefruit. It has a refreshing acidity that pairs very well with salmon.",£12.49 per bottle,75CL,Sauvignon Blanc,,Screwcap,New Zealand,10.1,"Grass, Green Apple, Green Bell Pepper, Lemon, Tropical Fruit",per bottle,White,ABV 13.50%,Marlborough,Crisp & Zesty,2022,
Cave de Lugny 'Les Chenaudières' Bourgogne Chardonnay 2022,"This is a stylish, fresh wine from one of Burgundy's most reliable and reputable cooperatives. Cave de Lugny is situated in the heart of the Mâconnais, and is the biggest producer of the region. They consistently make wines to remind you that Burgundy isn’t all Grand Crus and expensive bottles, and this is no exception. Refined and classy, this has lively notes of citrus and apple with a long, refreshing  finish. Try it with light fish dishes.",£14.99 per bottle,75CL,Chardonnay,,Screwcap,France,9.8,"Vanilla, Butter, Lemon, Peach",per bottle,White,ABV 13.00%,Burgundy,Ripe & Rounded,2022,Macon
"The Guv'nor Rosé, Spain","The Guv'nor red is one of our best-ever-selling wines. True to form, this pink sibling also breaks the region and rule-based restrictions to bring you plenty of flavour at great value. It's a blend of Garnacha, Bobal and Tempranillo grapes. Each of these varieties comes from a different area and has a unique identity. Bring them all together, and you get something truly remarkable.",£8.99 per bottle,75CL,Garnacha,"Tempranillo, Bobal",Screwcap,Spain,9.8,"Nectarine, Raspberry, Strawberry",per bottle,Rosé,ABV 13.00%,,Ripe & Fruity,NV,
"Chapel Down English Sparkling Rosé, Kent","This elegant sparkling wine from the excellent Chapel Down winery is made using the traditional method, from a blend of grapes that thrive in the cool climes of Kent. Slight hints of rose petals and a soft strawberry character, this crisp, medium bodied sparkling wine also has a citrus streak and fine, persistent bubbles. Smoked salmon is a fantastic match to this wine, along with crab salad.",£29.99 per bottle,75CL,Pinot Noir,"Rivaner, Reichensteiner",Natural Cork,England,9,"Strawberry, Raspberry, Red Fruit",per bottle,Rosé,ABV 12.00%,Kent,Crisp & Fruity,NV,
Heidsieck & Co. Monopole 'Bronze Top' Brut Champagne,"Heidsieck & Co. Monopole is one of Champagne's oldest houses and has long been a favourite of the famous and royal. It was a particular favourite of the Russian Tsar Nicholas II, who used to have two whole trains filled with the Champagne delivered to him each year. The Bronze Top continues this heritage of excellence. Expect a fine stream of bubbles, with citrus and brioche flavours. Divine with oysters.",£29.99 per bottle,75CL,Pinot Noir,Chardonnay,Natural Cork,France,9.4,"Pear, Bread, Citrus Fruit",per bottle,White,ABV 12.50%,,Crisp & Fruity,NV,
"Viñalba 'Reserve' Malbec 2020/21, Mendoza","When Hervé J Fabre came to the Uco Valley in the early nineties, Malbec was still a blending grape. But he found vineyards where the grape flourished and became the first person to make single-variety Malbecs in Argentina. This plush style is the benchmark for Mendoza Malbec. It's rich and chocolatey with plenty of ripe black fruits. Malbec is steak's best friend, so try it with a sirloin.",£12.99 per bottle,75CL,Malbec,,Natural Cork,Argentina,10.9,"Violet, Black Fruit, Red Fruit, Ripe Fruit, Vanilla",per bottle,Red,ABV 14.50%,Mendoza,Soft & Fruity,2020/21,Uco Valley
La Raia 'Il Borgo' Organic Gavi 2021,"This organic wine is grown in a rural Italian paradise. Vines grow between orchards, elderflower and acacia trees, all teeming with wildlife. This beautiful landscape sets the scene for the Rossi Cairo family’s biodynamic winemaking, which brings purity to all of their wines. Their Gavi embodies this. A zingy blend of fruit and freshness with notes of peach, almond and blossom. Enjoy with fresh pesto pasta.",£14.99 per bottle,75CL,Cortese,,Screwcap,Italy,9.8,"Lime, Citrus Fruit, Floral, Green Apple, Lemon",per bottle,White,ABV 13.00%,Piedmont,Aromatic & Floral,2021,Gavi
"La Marca Extra Dry Prosecco, Conegliano Valdobbiadene DOCG","This is Prosecco – but better. Conegliano Valdobbiadene DOCG is like Prosecco’s ‘Grand Cru’, and in these hills it’s impossible to cut corners. The vineyards are incredibly steep, so much so that everything has to be done by hand – often with the help of a harness. It’s truly extreme winemaking. But it’s worth it to make fizz this good. Fresh. Floral. Fruity. It has a soft, creamy mousse, with full flavours of ripe white peach, apple and citrus. It’s not bone dry so it’s a great choice as an aperitif.",£14.99 per bottle,75CL,Glera,,Natural Cork,Italy,8.3,"Pear, Citrus Fruit, Floral, Green Apple",per bottle,White,ABV 11.00%,Prosecco Docg,Crisp & Fruity,2021,
"Les Vignobles Foncalieu 'Vallée des Pins' Rosé 2021/22, Coteaux d'Aix-en-Provence","After Provence rosé at a great price? Look to Coteaux d'Aix-en-Provence. The vineyards here see plenty of sun with almost every vintage. So the grapes behind this bottle are full of delicious juice. It's aged on its lees, so this brings a delicious texture to its notes of raspberry, strawberry and guava. Try it with mussels in cream sauce.",£11.99 per bottle,75CL,Grenache,"Syrah, Cabernet Sauvignon, Cinsault",Screwcap,France,9.4,"Strawberry, Peach, Raspberry",per bottle,Rosé,ABV 12.50%,Provence,Delicate & Dry,2022,Coteaux D'Aix-En-Provence
Château Recougne Bordeaux Supérieur 2019/20,"Legend has it that during a stay at Château Recougne in the 16th century, Henri IV was so impressed by the quality of the wine he declared the château’s land ‘terra recognita’ – recognised land. The wax seal you see on the label was a symbol of the extremely coveted designation. The old Bordeaux variety Carménère is used in the blend – and the end result is fit for a king. Expect food-friendly notes of cherry, cedar wood and earthiness, with fine-grain tannins. Enjoy with roast lamb.",£12.99 per bottle,75CL,Merlot,"Cabernet Sauvignon, Cabernet Franc, Carménère",Natural Cork,France,10.9,"Smoke, Blackberry, Red Plum",per bottle,Red,ABV 14.50%,Bordeaux,Savoury & Full Bodied,2020,Bordeaux Supérieur
"Devil's Creek Sauvignon Blanc 2022, Marlborough","Once upon a time, Devil’s Creek was a mecca for prospectors. They flocked to the lush Marlborough valleys, panning for gold in the river. Today, it’s just liquid gold that’s left. Delicious, fruity, moreish gold – the Sauvignon Blanc which has made Marlborough world-famous. We’re lucky enough to have the UK exclusive on this – and all the wines from Devil’s Creek. With such excellent Sauvignon as this, we think it’s quite the coup. Gooseberry. Peach. Citrus. It’s classic Marlborough Sauvignon – a bold, tropical, intensely refreshing glassful. A wine this zingy wants nothing more complicated that a goat’s cheese salad. Try to say no to a second glass.",£9.99 per bottle,75CL,Sauvignon Blanc,,Screwcap,New Zealand,9.8,"Tropical Fruit, Grass, Green Apple, Lemon, Stone Fruit",per bottle,White,ABV 13.00%,Marlborough,Crisp & Zesty,2022,
"Two Hands 'Tenacity' Old Vine Shiraz 2021/22, Australia","Two Hands founders Michael Twelftree and Richard Mintz had an ambition to make the best possible Shiraz-based wines from Australia's finest regions. They ensure this by only buying grapes from specialist growers. This way, they source the cream of the crop every harvest – and it’s paid off. Australia has some of the oldest vines in the world. Tenacity shows how the lower yields from old vines intensify all the flavours. If you like a full-throttle Australian Shiraz, you're in for a treat. This is full of ripe black-fruit flavours. Discover a juicy, velvety texture, with notes of chocolate and spice. Its intensity and richness mean it’ll complement hearty dishes like a beef stew.",£14.99 per bottle,75CL,Shiraz,,Natural Cork,Australia,10.7,"Vanilla, Black Pepper, Black Plum, Blackberry, Blackcurrant, Blueberry, Chocolate, Jammy, Spice",per bottle,Red,ABV 14.20%,South Australia,Bold & Spicy,2022,Mclaren Vale
